"var","spline.term","segments","power","beta"
"BLage",1,"46--62",0,-5.61273259836707
"BLage",1,"46--62",1,0.408478897628186
"BLage",1,"46--62",2,-0.00934118385576355
"BLage",1,"46--62",3,6.76897380852484e-05
"BLage",2,"46--62",0,3.33933491603966
"BLage",2,"46--62",1,-0.321093263677966
"BLage",2,"46--62",2,0.00810322912084871
"BLage",2,"46--62",3,-5.87190516003581e-05
"BLage",3,"46--62",0,-1.96782236123818
"BLage",3,"46--62",1,0.189215673238792
"BLage",3,"46--62",2,-0.00477511716050083
"BLage",3,"46--62",3,3.46022982644998e-05
"BLage",1,"63--73",0,72.4552521493461
"BLage",1,"63--73",1,-3.30904418559609
"BLage",1,"63--73",2,0.0496671190525553
"BLage",1,"63--73",3,-0.000244523504815884
"BLage",2,"63--73",0,-45.2726707287329
"BLage",2,"63--73",1,1.99376414797734
"BLage",2,"63--73",2,-0.028640539318129
"BLage",2,"63--73",3,0.000135692421621703
"BLage",3,"63--73",0,13.1478562898246
"BLage",3,"63--73",1,-0.530578548240101
"BLage",3,"63--73",2,0.00665018794233596
"BLage",3,"63--73",3,-2.58490514859488e-05
"BLage",1,"74--96",0,-44.5636004034895
"BLage",1,"74--96",1,1.49994975493109
"BLage",1,"74--96",2,-0.0162095102697322
"BLage",1,"74--96",3,5.62830217698818e-05
"BLage",2,"74--96",0,13.5809676089884
"BLage",2,"74--96",1,-0.424878523436064
"BLage",2,"74--96",2,0.00449155207109797
"BLage",2,"74--96",3,-1.55956669135454e-05
"BLage",3,"74--96",0,8.66943121349141
"BLage",3,"74--96",1,-0.346533682089586
"BLage",3,"74--96",2,0.00412902539233073
"BLage",3,"74--96",3,-1.43368937233646e-05
"BLMoCA",1,"3--21",0,0.0587164226870481
"BLMoCA",1,"3--21",1,-0.0173846975245466
"BLMoCA",1,"3--21",2,-0.00109372168556798
"BLMoCA",1,"3--21",3,0.000121524631729767
"BLMoCA",2,"3--21",0,-0.158882794680104
"BLMoCA",2,"3--21",1,0.0514203092576009
"BLMoCA",2,"3--21",2,0.000770311151216729
"BLMoCA",2,"3--21",3,-8.5590127912958e-05
"BLMoCA",3,"3--21",0,0.0977740274954491
"BLMoCA",3,"3--21",1,-0.0316432672354472
"BLMoCA",3,"3--21",2,-0.000474037631517932
"BLMoCA",3,"3--21",3,5.2670847946433e-05
"BLMoCA",1,"22--25",0,65.1412264651908
"BLMoCA",1,"22--25",1,-8.89227243059321
"BLMoCA",1,"22--25",2,0.402310266181191
"BLMoCA",1,"22--25",3,-0.00599065700261502
"BLMoCA",2,"22--25",0,-19.927794870099
"BLMoCA",2,"22--25",1,2.7471810468147
"BLMoCA",2,"22--25",2,-0.121764267828653
"BLMoCA",2,"22--25",3,0.00177099440208507
"BLMoCA",3,"22--25",0,-21.8649467466056
"BLMoCA",3,"22--25",1,2.96327320196016
"BLMoCA",3,"22--25",2,-0.136606604413137
"BLMoCA",3,"22--25",3,0.00211528549615276
"BLMoCA",1,"26--30",0,-77.4096735912286
"BLMoCA",1,"26--30",1,8.21383557617719
"BLMoCA",1,"26--30",2,-0.281934054089629
"BLMoCA",1,"26--30",3,0.00313260060099588
"BLMoCA",2,"26--30",0,19.2651513371998
"BLMoCA",2,"26--30",1,-1.95597249806096
"BLMoCA",2,"26--30",2,0.0663618739663709
"BLMoCA",2,"26--30",3,-0.000737354155181905
"BLMoCA",3,"26--30",0,34.1445222540347
"BLMoCA",3,"26--30",1,-3.7578630781166
"BLMoCA",3,"26--30",2,0.13223884678993
"BLMoCA",3,"26--30",3,-0.00146932051988811
